Region,Category,Headline,Content,URL
Africa,Politics,‘We need our bananas back’: Traders left in limbo amid Malawi-Tanzania spat,"Lilongwe, Malawi – Since he was young, Enock Dayton has made a living from bananas. The 30-year-old was born and raised in Molele, in the southern Malawian district of Thyolo, which was at the heart of local banana production until a plant virus devastated crops more than a decade ago.
At his stall at Mchesi market, in Malawi’s capital Lilongwe, Dayton serves customers from the bunches of green bananas that he has. “I started this business when I was young, and we had farms where we were growing bananas and we would take trucks and bring them here and sell them to individuals,” he told Al Jazeera.
But in 2013, the deadly banana bunchy top disease wiped out almost all the crops in the country. Farmers were asked to uproot their banana plants to avoid the spread of the virus; hundreds of thousands of people were affected.
Bananas are Malawi’s fourth biggest staple crop, after maize, rice and cassava, according to the Food and Agriculture Organization (FAO).
The United Nations body – which is working with other organisations to help revive banana farming in the country – said in 2023 that with “the right investments and strategic support, the banana sector has the potential to provide greater benefits in food and nutrition security and commercial value for growers, transporters, consumers and food processors”.
But in the meantime, to maintain their businesses in the absence of sufficient local produce, farmers and fruit-sellers like Dayton turned to neighbouring Tanzania to import the crop and complement their own meagre local supplies. In 2023 alone, for instance, Malawi imported more than $491,000 worth of bananas, with the majority of that – 5,564,180kg (12,266,920lb) – coming primarily from Tanzania. The remainder came from South Africa and Mozambique.
But this year, that arrangement came to a sudden halt. In March, Malawi said it was temporarily banning the import of some farm produce, including bananas, from Tanzania and other countries. The government said this was to help support local industries and stabilise the country’s foreign exchange shortage, which has led to challenges that include the inability to import some necessities, like pharmaceuticals.
But Malawi might have underestimated the effect of its bold move, observers say.
In retaliation, in April, Tanzania banned the entry of all agricultural imports from Malawi, responding to what it described as restrictions on some of its exports. That ban also extended to South Africa, which for years prohibited the entry of bananas from Tanzania.
This was bad news for Malawi, observers say, as it is more on the receiving end of trade between the neighbours. According to data from the Observatory of Economic Complexity (OEC), Malawi exports less than $50m worth of products to Tanzania, including soybean meal, soybeans and dried legumes, while it imports hundreds of millions of dollars in the form of mineral fuels, oil, distilled products, soaps, lubricants, cement and glassware, among other products.
In its response, Dar es Salaam went a step further, extending its trade ban to the export of fertiliser from Tanzania to landlocked Malawi. It also threatened to stop goods en route to Malawi from passing through Tanzania.
By land, Malawi depends on Tanzania, Zambia and Mozambique for the import of goods. As it lacks direct access to the sea, Malawi utilises seaports in Tanzania and Mozambique. But the instability of the Mozambique route – due to insecurity caused by conflict, recent post-election violence and truck drivers facing harassment – made the deadlock with Tanzania a bigger challenge for industry. Businesses that rely on the import of farm produce started crying foul as their trucks of groundnuts and other produce stood in line at the Songwe border.
Malawi also found itself in a tricky situation as it depends on Tanzania for its harbours to import fuel.
Soon, even Kenya found itself entangled in the conflict as cargo from Malawi, which has to travel through Tanzania, was also stopped en route.
The ensuing row shone a light on Malawi’s precarious geographical location, as well as regional agreements aimed at facilitating trade, the efforts by individual nations to follow the rules, and the macroeconomic imbalances in a nation designated as one of the poorest in the world.
After weeks of tensions, this month, a high-level meeting between Malawi and Tanzania appeared to have brokered the differences, paving the way for the lifting of the bans between the two countries, according to a spokesperson for Malawi’s Ministry of Foreign Affairs.
For Ernest Thindwa, a political commentator based at the University of Malawi, the recent trade dispute does not exist in isolation – and should also be viewed from a political lens.
Both countries are heading for polls this year, first Malawi in September and then Tanzania in November. Within an election environment, the dispute says something about the attempts by both countries’ leaders to display patriotism and a sense of empowerment to their citizens, the analyst said.
“The current administration [in Malawi] wants to be seen to be delivering and they want to be seen to be responding to people’s concerns,” Thindwa told Al Jazeera. “And certainly they need to make sure that local producers are protected, which has become more urgent as we go towards elections.”
Thindwa said that both Malawi and Tanzania are signatories to regional and international trade agreements, the frameworks of which entitle them to take measures to protect their trade interests when they deem necessary.
However, he questioned the timing of these moves, asking why the initiatives by Malawi were not implemented earlier if they were indeed to protect local industries.
Answering his own question, he said, “Because then it might have not been an agent in terms of attracting votes.”
“What you would call subsistence or smallholder producers … would be significant for the government in terms of trying to win votes from such social groups,” he observed.
Meanwhile, in Tanzania, something similar was at play in its decision to retaliate, Thindwa said.
“The incumbent administration in Tanzania wants to be seen to be responding to the needs and interests of its citizens. So the administration in that country, in Tanzania, also wanted to project an image that it cares for its people. That’s why it responded rather quickly.”
Broadly speaking, Thindwa noted that the trade dispute points to overall challenges African countries face – in terms of promoting internal trade, and trading more within Africa than with other continents.
Citing the example of Angola, he said that despite it having oil, countries within the Southern African Development Community (SADC) bloc continue to import oil from the Middle East.
“There is Angola there,” he said. “Why can’t they put together a regional project, for instance, and invest in the capabilities to make sure that the end product is being produced in Angola and Angola serves the region, to be much cheaper for the region? And it will make sure that the resources of the region remain within the region.”
Such examples show that “in spite of these trade protocols, Africa still struggles to encourage trade between member states”, he said.
“So the case of Tanzania and Malawi is just a symptom of a huge challenge Africa faces in terms of promoting internal trade.”
In a statement on May 9, Malawi’s Ministry of Trade said Malawi and Tanzania had held bilateral discussions in Tanzania regarding the implementation and resolution of its prohibition order.
After that, a letter from the ministry, addressed to Malawi’s Revenue Authority, read: “In this regard, I wish to advise that you facilitate the clearance of exports and imports of goods between the Republic of Malawi and the Republic of Tanzania. This, however, does not exempt importers from complying with legal and regulatory requirements, including obtaining the relevant licences and certifications from regulatory bodies.”
After the talks, Charles Nkhalamba, Malawi’s Ministry of Foreign Affairs spokesperson, told Al Jazeera the neighbours had signed “a joint communique” to resolve the dispute between them.
The “high-level discussions” were a result of “robust diplomatic efforts” by the foreign ministries of both countries, he said in a message on WhatsApp, adding that Tanzania also “acknowledg[ed] the economic circumstances that necessitated the import restrictions”.
During the meeting, both parties agreed in principle on the importance of continuous engagement and communication on all matters impacting their bilateral trade relations, Nkhalamba added.
Weeks earlier, Tanzania’s Ministry of Agriculture also released a statement acknowledging that Lilongwe had reached out to Dar es Salaam to resolve the problem and stating that “Tanzania is lifting a ban on export and import of agricultural produce to and from Malawi”.
In principle, the trade war between the neighbours appears to have stalled for now.
But experts told Al Jazeera that practically speaking, it will take time for the logistics to be sorted out and for things to return to normal for sellers left in limbo when their supplies dried up.
At the market in Lilongwe, Dayton is eagerly awaiting the trucks of sweet bananas from across the border, so he has enough to sell to his customers.
He is grateful for the cross-border trade, and the arrangement that has over the years helped business people like him make money selling the crop from their neighbours.
But he also had mixed feelings as he reminisced about their lost opportunity to grow their own crops.
“The amount of money we used to have when we grew our own bananas is different from what we’re earning now,” Dayton said. “While we were growing and buying them at a cheap price … we were making a lot of money, apart from the transport [costs]. The ones from Tanzania are quite expensive.
“We need our bananas back.”
A decade ago, Dayton was a casualty of a natural disaster that made his garden back in the village dormant. Now, he feels that he is a casualty of the decisions made by authorities in offices far away.
“What we want is a stable supply of bananas in this market,” he said. “It’s good because it provides for our families and the customers as well.”",https://www.aljazeera.com/features/2025/5/14/we-need-our-bananas-back-traders-left-in-limbo-amid-malawi-tanzania-spat
Africa,Uncategorized,Mali dissolves all political parties after opposition figures ‘arrested’,"Mali’s military government has dissolved all political parties after accusations from rights groups that opposition figures have been arrested.
Assimi Goita, who seized power in two army coups in 2020 and 2021, validated the decision after it was broadcast to Malians in a televised statement on Tuesday.
The parties were disbanded after demonstrations this month, demanding the country returned to democratic rule.
Protesters gathered on May 3 and 4, carrying placards with slogans reading, “Down with dictatorship, long live democracy,” in a rare public rebuke of the military government, which had promised to hold elections in 2022.
A national conference held in April recommended extending Goita’s presidency until 2030, drawing condemnation from opposition figures and human rights groups.
In response to another protest that had been planned on Friday, the military government issued a decree suspending all political activities across the country.
The move forced opposition groups to cancel the demonstration, and the government has now tightened its grip further.
The clampdown has coincided with reports of disappearances of opposition figures. Human rights groups said several politicians have been forcibly disappeared in recent days.
On Thursday, Human Rights Watch (HRW) said Abba Alhassane, the secretary-general of the Convergence for the Development of Mali (CODEM), was “arrested” by “masked gunmen”.
That same day, El Bachir Thiam, the leader of the Yelema party, was reportedly seized by unidentified men in Kati, a town outside the capital.
On Tuesday, a CODEM member speaking on condition of anonymity told the Reuters news agency that the party had lost contact with Abdoul Karim Traore, a youth leader, and feared he too had been abducted.
Malian authorities have not commented on the reported arrests.
Goita first seized power in August 2020 amid escalating attacks from armed groups affiliated with ISIL (ISIS) and al-Qaeda’s regional affiliate Jama’at Nusrat al-Islam wal-Muslimin (JNIM).
In July 2020, protests against the former civilian government were violently repressed with at least 14 people killed during a crackdown by security forces.
The military then ousted the elected government, citing its failure to tackle the armed groups.
In December last year, HRW reported that Malian soldiers alongside Russian Wagner Group fighters “deliberately killed” at least 32 civilians and burned more than 100 homes in central and northern Mali.",https://www.aljazeera.com/news/2025/5/13/mali-dissolves-all-political-parties-after-opposition-figures-arrested
Africa,Politics,Why has Trump given white South Africans refugee status?,"On Monday, 59 white South Africans arrived in the United States as part of a refugee programme set up by President Donald Trump to offer sanctuary from what Washington has described as racial discrimination against Afrikaners.
Earlier this year, the Trump administration offered to resettle Afrikaners, descendants of European colonial settlers in South Africa, stating that they face harassment and violence in their country. At the same time, he froze aid to the African nation.
As the group arrived at Dulles International Airport near Washington, DC, US Deputy Secretary of State Christopher Landau told them: “I want you all to know that you are really welcome here and that we respect what you have had to deal with these last few years.
“We respect the long tradition of your people and what you have accomplished over the years,” he said.
In a news conference on Monday, Trump doubled down on claims that white people have been subjected to systematic violence since the end of apartheid, or white minority rule, in South Africa.
The Afrikaner community are descendents of mainly Dutch settlers who established apartheid in 1948. Under apartheid, whites could seize land and resources from the Black population, who were relegated to “Bantustans” or overcrowded townships.
Although apartheid ended in 1994 – when the African National Congress won the first racially inclusive democratic election in South Africa – most commentators agree that racism persists today, with many Black people still disproportionately lacking access to land, resources and opportunities.
In January, President Cyril Ramaphosa introduced a new law seeking to address land ownership disparities – which have left three-quarters of privately owned land in South Africa in the hands of the white minority – by making it easier for the state to expropriate land.
Ramaphosa has insisted that the law does not amount to land confiscation, but creates a framework for fair redistribution by allowing authorities to take land in the public interest without compensation only in exceptional circumstances, like when the area is abandoned.
Shortly after the introduction of the Expropriation Act, Trump wrote on his Truth Social account: “South Africa is confiscating land, and treating certain classes of people VERY BADLY… the United States won’t stand for it, we will act.”
Washington has said it agreed to grant Afrikaners refugee status after the introduction of the law.
Trump is also at odds with the African nation’s prominent position in the International Court of Justice’s case accusing Israel of genocide in Gaza.
“It’s a genocide that’s taking place,” Trump told reporters at the White House, a claim that has drawn criticism from South African officials and the international media.
Trump’s claim echoes white nationalist beliefs that South Africa’s legislation aimed at rectifying apartheid is now, in fact, discriminatory against the Afrikaner community.
Right-wing organisations, such as the Afrikaner lobby group AfriForum, have been championing a narrative that Afrikaners are under an existential threat.
Elon Musk, the South African-born tech billionaire and a close ally of Trump, is perceived by many as an ally of the Afrikaner cause.
He has repeatedly posted his outrage on X against what he claims is unfair treatment of white South Africans – even going as far as claiming a “white genocide” was occurring.
Still, South African whites own most of the country’s private land and have about 20 times more wealth than Blacks on average. In corporate South Africa, white individuals occupy 62 percent of top management positions while 17 percent of leadership roles are held by Black managers.
And even statistics provided by AfriForum and the Transvaal Agricultural Union – also a group sympathetic to white farmers – show that the total number of farmers, across all races, killed every year numbers about 60. This is a country that sees 19,000 murders in all, annually.
Some younger Afrikaners have taken to social media to mock the asylum offer, posting parody videos that highlight the privileges white people enjoy in South Africa today.
In March, the South African government called Trump’s claims that Afrikaners face persecution “completely false”, noting they have remained among the richest and “most economically privileged” groups.
On Monday, President Ramaphosa told an Africa CEO Forum in Abidjan, Ivory Coast, that “we think that the American government has got the wrong end of the stick here, but we’ll continue talking to them.”
Ramaphosa said he had spoken to Trump about the issue.
The South African president said the far-right Afrikaners seeking refugee status were a “fringe grouping”, adding that they are “anti-transformation and anti-change [and] would actually prefer South Africa to go back to apartheid-type policies. I said to him [Trump] that I would never do that.”
Ramaphosa also revealed that he is set to meet with Trump soon regarding the issue.
Tensions between the Trump administration and the government of South Africa are high, with the US expelling South Africa’s ambassador in March due to criticisms of Trump.
The Trump administration is also at odds with Pretoria’s prominent position in the International Court of Justice’s case against Israel, which stands accused of genocide in Gaza.
Another major flashpoint was the abrupt pause in US aid funding in January and the dismantling of USAID operations in South Africa. This particularly affected the PEPFAR program, the President’s Emergency Plan for AIDS Relief.
In 2023 alone, South Africa received roughly $460m in PEPFAR funds, covering nearly 18 percent of the country’s total HIV/AIDS budget. The funding freeze is jeopardising efforts to combat one of the world’s most severe HIV epidemics.
Trade diplomacy has not escaped the fallout, either. With a proposed 30 percent tariff rate, South Africa was among the hardest hit by Trump’s “liberation day” tariffs on April 2, which disproportionately affected some African nations. Only five other countries faced steeper trade hikes than South Africa.
Although a 90-day pause was granted before the tariffs’ implementation, the looming threat of higher trade levies – especially on car exports – has created deep anxiety in Pretoria.
Yesterday’s arrival of dozens of Afrikaners into the US comes as the Trump administration blocks nearly all other refugee admissions and leans into rhetoric about an “invasion” of immigrants from poorer nations.
Speaking from Washington, DC, Al Jazeera correspondent Patty Culhane said the Trump administration “has made a priority of getting these people [white South Africans] into the United States”.
Meanwhile, people fleeing widespread violence and persecution in countries such as Haiti and Afghanistan face a closed door.",https://www.aljazeera.com/news/2025/5/13/why-has-trump-given-white-south-africans-refugee-status
Africa,Politics,Dozens of white South Africans welcomed to US as refugees,,https://www.aljazeera.com/program/newsfeed/
Africa,Politics,Afrikaners landing in US with refugee status is “deeply offensive”,,https://www.aljazeera.com/program/quotable/
Africa,Politics,Ivory Coast opposition leader resigns but vows to still fight for victory,"Ivory Coast’s main opposition leader has said he is resigning as party leader but would still lead the fight to win the election, after having been barred from standing in an October presidential vote.
“In the interest of the party, I’ve decided to place my mandate as president of the party in your hands, the activists,” Thiam said in a speech published on social media on Monday.
“This decision does not change the commitment I made in December 2023 to personally lead our party to victory in October 2025.”
President Alassane Ouattara, 83, who has been in power since 2011, has yet to say whether he plans to run again but has said he is eager to “continue serving my country”.
Tidjane Thiam’s campaign for the presidency of the West African country has been mired in tussles over his nationality, as presidential candidates are not allowed to hold dual citizenship.
Thiam was born in the Ivory Coast and renounced his French passport in March to enable his run for the top job. However, a court in Abidjan struck him off the electoral list last month, saying the 62-year-old politician had lost Ivorian nationality when he acquired French citizenship in 1987.
Thiam also faces a legal case against his election as head of the Democratic Party of Ivory Coast–African Democratic Rally (PDCI) after a party member also contested his Ivorian nationality at the time he was chosen.
PDCI deputy president Ernest N’Koumo Mobio assumed the party’s interim leadership following Thiam’s announcement. He appealed for “cohesion, serenity and discipline” and called a party meeting early Monday due to “the urgency linked to the political situation”.
Three other opposition figures have also been excluded from the presidential race, including former President Laurent Gbagbo due to court convictions.
Thiam alleged irregularities on Monday. “While we had the right to hope for inclusive, transparent and peaceful elections, it is clear that the unjustified removal of the PDCI candidate is part of the logic of eliminating the leaders of the main opposition parties to ensure tailor-made elections and a certain victory,” he said.
The authorities regularly reject claims of any political intervention in the electoral process, saying decisions are taken by an independent judiciary.",https://www.aljazeera.com/news/2025/5/12/ivory-coast-opposition-leader-resigns-but-vows-to-still-fight-for-victory
Africa,Politics,"Burkina Faso army, militias killed 130 members of ethnic group, HRW says","At least 130 civilians belonging to the Fulani ethnic group were killed by Burkina Faso’s army and allied militias near the western town of Solenzo in March, Human Rights Watch (HRW) has said.
The killings took place amid a major weeks-long military campaign by special forces that resulted in “widespread civilian deaths and massive displacement” of the Fulani pastoralist community in the region, the rights group said in a report on Monday.
It added that an Al-Qaeda-affiliated group called the Jamaat Nusrat al-Islam wa al-Muslimin (JNIM) then carried out a series of retaliatory attacks, hitting villages that the armed group perceived as having assisted the military.
Ilaria Allegrozzi, senior Sahel researcher at HRW, said in a statement the “the viral videos of the atrocities by pro-government militias near Solenzo” that cirinitially circulated “told only part of the story”.
“Further research uncovered that Burkina Faso’s military was responsible for these mass killings of Fulani civilians, which were followed by deadly reprisals by an Islamist armed group,” Allegrozzi added.
“The government needs to impartially investigate these deaths and prosecute all those responsible.”
HRW had reported in March that the government’s involvement was likely due to video evidence online.
At that time, the government strongly denied the allegations, saying in a statement it “condemned the propagation, on social media, of images inducing hate and community violence, and fake information aimed at undermining social cohesion” in the West African country.
Burkina Faso’s government and army did not immediately react to Monday’s report, which alleged that the Burkinabe army “led and participated in the massacre of more than 130, possibly many more, ethnic Fulani civilians by pro-government militias”.
The rights organisation’s report is based on interviews with witnesses to the attacks, militia members, journalists and civil society members.
Witnesses quoted by HRW said hundreds of government troops and drones, as well as a pro-government militia called the Volunteers for the Defense of the Homeland (VDP), were involved in attacks on Solenzo and other towns in the western Boucle du Mouhoun region.
The witnesses said most of the victims in Banwa province were women, children and older people.
Military helicopters and drones surveilled the area, “indicating direct command control of the operation”, HRW said.
A 44-year-old Fulani herder, who lost eight family members, told HRW that thousands of families from more than 20 villages were forced to flee to neighbouring Mali in search of protection.
“However, we couldn’t reach Mali without crossing villages [that were] occupied by the VDPs and the army. The VDPs shot at us like animals, while drones were flying over our heads. Many women and children died because they could not run,” he said.
Military rulers took power in Burkina Faso in 2022, but they have largely failed to provide the stability promised, as more than 60 percent of the country is estimated to be outside government control.
The military has also turned to mass recruitment of civilians who are deployed in poorly trained militia units, leading to worsening tensions between ethnic groups.",https://www.aljazeera.com/news/2025/5/12/burkina-faso-army-militias-killed-130-members-of-ethnic-group-hrw-says
Africa,Climate,"More than 100 dead after flooding in eastern DR Congo, officials say","Heavy overnight floods have washed away several villages in the Democratic Republic of the Congo, killing more than 100 people, according to local officials, in a nation suffering war and mass displacement.
The floods were triggered by torrential rains and surged through the Kasaba village, in South Kivu province, during the night of Thursday into Friday, regional official Bernard Akili told news agency AFP on Saturday.
Torrential rains caused the Kasaba River to burst its banks overnight, with the rushing waters “carrying everything in their path, large stones, large trees and mud, before razing the houses on the edge of the lake”, he said.
“The victims who died are mainly children and elderly,” he said, adding that 28 people were injured and some 150 homes were destroyed.
Sammy Kalonji, the regional administrator, said the torrent killed at least 104 people and caused “enormous material damage.”
South Kivu’s provincial health minister, Theophile Walulika Muzaliwa, told the Associated Press news agency that rescue operations were hampered by a lack of services and a shutdown of telephone lines due to the flooding.
“Sector chiefs, village chiefs and locality chiefs, who are also members of the local government, are on site. The only humanitarian organisation currently present is the Red Cross,” he said.
A local resident told AFP that some 119 bodies had been found by Saturday.
Such natural disasters are frequent in DR Congo, particularly on the shores of the Great Lakes in the east of the country, as the surrounding hills are weakened by deforestation. In 2023, floods killed 400 people in several communities located on the shores of Lake Kivu, in South Kivu province, while last month, 33 people were killed in flooding in the capital, Kinshasa.
DR Congo has also been subject to decades of fighting between government troops and rebels in the eastern part of the country, which escalated in late January when the Rwandan-backed M23 rebel group captured Goma, the capital of North Kivu state, in a rapid and surprise offensive.
Nearly 3,000 people were killed and 2,880 injured in the Goma offensive, worsening what is already considered one of the world’s largest humanitarian crises, with more than seven million people remaining displaced.",https://www.aljazeera.com/news/2025/5/11/more-than-100-dead-after-flooding-in-eastern-dr-congo-officials-say
Africa,Climate,"Photos: Heavy rains cause flooding in Somalia’s Mogadishu, killing seven","At least seven people have died, and main roads were cut off after heavy rains led to flooding in Somalia’s capital, Mogadishu.
The regional administration spokesperson, Abdinasir Hirsi Idle, said on Saturday that rescue efforts were continuing.
“The death toll could rise because the rains were heavy and lasted for several hours, causing nine houses to collapse across different neighbourhoods, and at least six major roads to suffer severe damage,” he said.
Somalia has in the past suffered extreme climate shocks, including prolonged dry seasons that have caused droughts and heavy rains resulting in floods.
Friday’s rains went on for about eight hours, leaving waist-high waters in neighbourhoods where some residents were trapped and others were forced to move to higher ground.
A resident, Mohamed Hassan, told The Associated Press news agency that some older people were still trapped.
“We spent the night on rooftops, shivering from the cold, and I haven’t even had breakfast,” he said.
Floodwaters also damaged key infrastructure, halting public transport and temporarily disrupting operations at the main Aden Abdulle airport. Officials later confirmed flights had resumed.
The Somalia Disaster Management Agency has not yet released an official death toll, but it said the assessment was under way to determine the extent of the damage.
The country’s Ministry of Energy and Water Resources said in a statement on Saturday that “a substantial amount of rainfall, exceeding 115mm, was recorded in over 8 consecutive hours” and warned of flash floods in other regions outside the capital.",https://www.aljazeera.com/gallery/2025/5/11/heavy-rains-cause-flooding-in-somali-capital-killing-seven
Africa,Uncategorized,Week in Pictures: From India-Pakistan fighting to V-E Day anniversary,"From the 80th anniversary of the Soviet Union’s victory over Nazi Germany during World War II to the election of a new pope at the Vatican, here is a look at the week in photos.",https://www.aljazeera.com/gallery/2025/5/11/week-in-pictures-from-india-pakistan-fighting-to-v-e-day-anniversary
